City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-02-04 03:32:59,-9.8,-139.0333,78.49,67,5,9.48
1,Leningradskiy,RU,2021-02-04 03:32:24,69.3833,178.4167,-26.52,85,11,6.85
2,Rikitea,PF,2021-02-04 03:37:16,-23.1203,-134.9692,78.06,71,0,12.66
3,Mar Del Plata,AR,2021-02-04 03:37:16,-38.0023,-57.5575,66.2,77,20,10.36
4,Jamestown,US,2021-02-04 03:37:16,42.097,-79.2353,21.99,86,1,16.11
5,Ancud,CL,2021-02-04 03:37:16,-41.8697,-73.8203,59.0,88,0,5.75
6,Cape Town,ZA,2021-02-04 03:37:16,-33.9258,18.4232,68.0,82,20,14.97
7,Severo-Kurilsk,RU,2021-02-04 03:37:16,50.6789,156.125,10.99,92,100,31.43
8,Tiksi,RU,2021-02-04 03:37:16,71.6872,128.8694,-24.9,86,99,2.26
9,Kapaa,US,2021-02-04 03:36:27,22.0752,-159.319,73.4,53,1,9.22
10,Sinjai,ID,2021-02-04 03:37:16,-5.1241,120.253,82.17,74,100,0.54
11,Victoria,HK,2021-02-04 03:37:15,22.2855,114.1577,70.0,54,0,1.99
12,Ushuaia,AR,2021-02-04 03:32:45,-54.8,-68.3,48.2,87,75,6.91
13,Quito,EC,2021-02-04 03:36:01,-0.2299,-78.5249,59.0,88,90,4.61
14,Westport,US,2021-02-04 03:32:22,41.1415,-73.3579,30.99,50,93,10.31
15,Busselton,AU,2021-02-04 03:37:17,-33.65,115.3333,72.0,43,0,3.0
16,Cooma,AU,2021-02-04 03:37:17,-36.2333,149.1333,75.2,38,75,12.66
17,Kruisfontein,ZA,2021-02-04 03:37:17,-34.0033,24.7314,66.99,89,42,1.01
18,Faya,SA,2021-02-04 03:33:35,18.3851,42.4509,55.4,35,0,2.35
19,Bandarbeyla,SO,2021-02-04 03:37:17,9.4942,50.8122,71.37,72,4,14.5
20,Saint-Louis,SN,2021-02-04 03:37:18,16.3333,-15.0,75.2,31,0,2.3
21,Castro,BR,2021-02-04 03:37:18,-24.7911,-50.0119,68.31,91,100,2.46
22,Cabo San Lucas,MX,2021-02-04 03:32:20,22.8909,-109.9124,69.01,77,20,3.87
23,Cayambe,EC,2021-02-04 03:37:18,0.05,-78.1333,59.0,88,90,4.61
24,Altay,CN,2021-02-04 03:37:18,47.8667,88.1167,19.04,92,100,1.66
25,Nabire,ID,2021-02-04 03:37:18,-3.3667,135.4833,85.66,65,98,1.97
26,Berlevag,NO,2021-02-04 03:37:18,70.8578,29.0864,29.5,93,100,20.42
27,Chuy,UY,2021-02-04 03:37:18,-33.6971,-53.4616,67.71,93,98,16.24
28,Thompson,CA,2021-02-04 03:37:18,55.7435,-97.8558,-4.0,77,90,16.11
29,Bluff,NZ,2021-02-04 03:37:19,-46.6,168.3333,57.09,61,0,24.05
30,Hofn,IS,2021-02-04 03:33:05,64.2539,-15.2082,32.11,91,38,14.25
31,Mataura,NZ,2021-02-04 03:37:19,-46.1927,168.8643,64.33,38,0,8.48
32,Vardo,NO,2021-02-04 03:37:19,70.3705,31.1107,24.8,74,40,16.11
33,Cruzeiro Do Sul,BR,2021-02-04 03:37:19,-29.5128,-51.9853,79.0,93,100,1.01
34,East London,ZA,2021-02-04 03:37:19,-33.0153,27.9116,69.8,88,20,8.05
35,Vao,NC,2021-02-04 03:37:19,-22.6667,167.4833,78.87,87,14,15.61
36,Gobo,JP,2021-02-04 03:37:19,33.8833,135.15,51.8,53,75,4.61
37,Hay River,CA,2021-02-04 03:37:20,60.8156,-115.7999,-13.0,77,100,5.75
38,Kieta,PG,2021-02-04 03:37:20,-6.2167,155.6333,83.98,76,64,10.58
39,Airai,TL,2021-02-04 03:37:20,-8.9266,125.4092,61.92,100,100,3.49
40,Maniitsoq,GL,2021-02-04 03:37:20,65.4167,-52.9,2.07,73,9,9.06
41,Paamiut,GL,2021-02-04 03:37:20,61.994,-49.6678,10.62,72,0,5.99
42,Elko,US,2021-02-04 03:37:20,41.0002,-115.5012,30.2,80,40,6.91
43,Port Alfred,ZA,2021-02-04 03:37:20,-33.5906,26.891,69.01,91,46,1.99
44,Coihaique,CL,2021-02-04 03:37:21,-45.5752,-72.0662,66.2,68,0,6.91
45,Constitucion,CL,2021-02-04 03:37:21,-35.3333,-72.4167,64.33,59,0,8.86
46,Vaitape,PF,2021-02-04 03:37:21,-16.5167,-151.75,78.44,77,99,10.0
47,Ribeira Grande,PT,2021-02-04 03:37:21,38.5167,-28.7,55.11,63,98,30.91
48,Port-Gentil,GA,2021-02-04 03:37:21,-0.7193,8.7815,81.01,80,100,8.59
49,Yerbogachen,RU,2021-02-04 03:37:21,61.2767,108.0108,-10.7,88,100,1.61
50,Hobart,AU,2021-02-04 03:36:36,-42.8794,147.3294,78.01,60,20,9.22
51,Saskylakh,RU,2021-02-04 03:37:21,71.9167,114.0833,-38.47,77,0,5.77
52,Panguipulli,CL,2021-02-04 03:37:21,-39.6333,-72.3333,60.8,88,0,2.57
53,Puerto Ayora,EC,2021-02-04 03:37:22,-0.7393,-90.3518,77.0,93,19,1.01
54,Pevek,RU,2021-02-04 03:37:22,69.7008,170.3133,-8.39,75,0,10.8
55,Bengkulu,ID,2021-02-04 03:37:22,-3.8004,102.2655,85.42,63,81,6.64
56,Kabanjahe,ID,2021-02-04 03:37:22,3.1001,98.4908,84.2,84,75,11.5
57,Saldanha,ZA,2021-02-04 03:37:22,-33.0117,17.9442,62.6,88,10,9.22
58,Bambous Virieux,MU,2021-02-04 03:37:22,-20.3428,57.7575,82.0,88,40,6.91
59,Mega,ET,2021-02-04 03:37:22,4.05,38.3,55.69,39,0,7.4
60,Punta Arenas,CL,2021-02-04 03:37:22,-53.15,-70.9167,55.4,82,0,12.66
61,Hilo,US,2021-02-04 03:36:23,19.7297,-155.09,78.8,57,90,9.22
62,Nikolskoye,RU,2021-02-04 03:37:23,59.7035,30.7861,14.0,85,75,13.42
63,Fortuna,US,2021-02-04 03:32:56,40.5982,-124.1573,45.0,93,1,3.44
64,Olafsvik,IS,2021-02-04 03:37:23,64.8945,-23.7142,35.89,82,100,30.6
65,Karpogory,RU,2021-02-04 03:37:23,64.0019,44.4451,10.45,96,100,8.1
66,Labuhan,ID,2021-02-04 03:37:23,-6.8844,112.2051,82.83,79,99,17.76
67,Saint-Pierre,RE,2021-02-04 03:37:23,-21.3393,55.4781,82.0,61,0,6.91
68,Sambava,MG,2021-02-04 03:37:24,-14.2667,50.1667,80.11,78,97,7.81
69,Tasiilaq,GL,2021-02-04 03:37:24,65.6145,-37.6368,17.49,94,69,11.59
70,Barrow,US,2021-02-04 03:35:37,71.2906,-156.7887,-29.2,85,20,11.5
71,Longyearbyen,SJ,2021-02-04 03:37:24,78.2186,15.6401,23.0,68,75,14.97
72,Iralaya,HN,2021-02-04 03:37:24,15.0,-83.2333,72.82,70,0,11.65
73,Albany,US,2021-02-04 03:37:24,42.6001,-73.9662,28.0,61,62,11.01
74,Cayenne,GF,2021-02-04 03:37:24,4.9333,-52.3333,80.6,83,75,12.66
75,Khatanga,RU,2021-02-04 03:37:24,71.9667,102.5,-22.7,85,13,12.08
76,Georgetown,MY,2021-02-04 03:37:25,5.4112,100.3354,87.01,45,20,10.36
77,Chokurdakh,RU,2021-02-04 03:32:28,70.6333,147.9167,-3.15,90,92,15.48
78,Lavrentiya,RU,2021-02-04 03:37:25,65.5833,-171.0,-17.91,83,4,14.25
79,Bredasdorp,ZA,2021-02-04 03:32:37,-34.5322,20.0403,64.4,77,57,2.3
80,Okitipupa,NG,2021-02-04 03:37:25,6.5047,4.7839,75.36,97,1,0.83
81,Yellowknife,CA,2021-02-04 03:37:25,62.456,-114.3525,-18.0,69,90,9.22
82,Lorengau,PG,2021-02-04 03:37:25,-2.0226,147.2712,82.72,72,100,4.34
83,Tuktoyaktuk,CA,2021-02-04 03:37:26,69.4541,-133.0374,-41.8,66,1,6.91
84,Bauchi,NG,2021-02-04 03:37:26,10.5,10.0,62.38,26,68,5.41
85,Sozimskiy,RU,2021-02-04 03:37:26,59.7418,52.2482,12.74,95,100,7.92
86,Paratebueno,CO,2021-02-04 03:37:26,4.3758,-73.2155,81.34,49,92,1.3
87,Laguna,US,2021-02-04 03:37:09,38.421,-121.4238,52.0,76,90,3.44
88,Lompoc,US,2021-02-04 03:35:35,34.6391,-120.4579,53.6,71,1,10.36
89,Upernavik,GL,2021-02-04 03:32:58,72.7868,-56.1549,-15.34,70,0,4.21
90,Coos Bay,US,2021-02-04 03:35:40,43.3665,-124.2179,44.01,100,1,3.44
91,Bathsheba,BB,2021-02-04 03:32:47,13.2167,-59.5167,78.8,69,40,25.32
92,Artsyz,UA,2021-02-04 03:37:27,45.9919,29.4182,39.83,90,100,9.51
93,San Juan,AR,2021-02-04 03:37:27,-31.5375,-68.5364,74.07,26,0,4.72
94,Geraldton,AU,2021-02-04 03:37:27,-28.7667,114.6,82.4,39,40,26.46
95,Werda,BW,2021-02-04 03:37:27,-25.2667,23.2833,66.87,90,100,7.36
96,Antofagasta,CL,2021-02-04 03:37:27,-23.65,-70.4,64.4,82,0,1.14
97,Ordubad,AZ,2021-02-04 03:37:28,38.9059,46.0234,28.4,93,20,4.61
98,Avarua,CK,2021-02-04 03:37:28,-21.2078,-159.775,84.2,70,20,9.22
99,Saint-Joseph,RE,2021-02-04 03:37:28,-21.3667,55.6167,82.0,61,0,6.91
100,Turayf,SA,2021-02-04 03:37:28,31.6725,38.6637,51.8,66,90,13.8
101,Sieradz,PL,2021-02-04 03:37:28,51.5958,18.7302,45.0,89,92,3.0
102,Port Blair,IN,2021-02-04 03:37:28,11.6667,92.75,82.71,69,47,14.54
103,Gat,IL,2021-02-04 03:37:29,31.61,34.7642,57.99,24,49,4.0
104,Miguel Hidalgo,MX,2021-02-04 03:35:34,19.4225,-99.2028,66.2,16,1,9.22
105,Hermanus,ZA,2021-02-04 03:37:29,-34.4187,19.2345,61.0,93,64,6.71
106,Amazar,RU,2021-02-04 03:37:29,53.858,120.875,-13.05,78,23,2.93
107,Provideniya,RU,2021-02-04 03:37:29,64.3833,-173.3,-8.63,81,76,15.43
108,Mount Isa,AU,2021-02-04 03:37:29,-20.7333,139.5,98.6,32,40,13.8
109,Takoradi,GH,2021-02-04 03:37:29,4.8845,-1.7554,78.89,87,0,5.66
110,Arandis,NA,2021-02-04 03:37:30,-22.4167,14.9667,66.0,86,100,4.45
111,Hendrina,ZA,2021-02-04 03:37:30,-26.1588,29.7153,59.0,100,90,3.44
112,Codrington,AU,2021-02-04 03:33:27,-38.2667,141.9667,82.85,29,100,13.96
113,Tuatapere,NZ,2021-02-04 03:37:30,-46.1333,167.6833,66.85,45,0,9.78
114,Hirado,JP,2021-02-04 03:37:30,33.3597,129.5531,55.0,81,40,5.75
115,Nome,US,2021-02-04 03:36:31,64.5011,-165.4064,-7.6,64,20,5.75
116,Husavik,IS,2021-02-04 03:37:31,66.0449,-17.3389,12.2,79,20,3.44
117,Ahuimanu,US,2021-02-04 03:37:31,21.4447,-157.8378,73.4,73,86,5.06
118,Male,MV,2021-02-04 03:35:35,4.1748,73.5089,84.2,74,75,19.57
119,Arraial Do Cabo,BR,2021-02-04 03:37:31,-22.9661,-42.0278,76.15,88,0,22.64
120,Atikokan,CA,2021-02-04 03:37:31,48.7555,-91.6216,21.33,97,100,4.72
121,Kaitangata,NZ,2021-02-04 03:37:31,-46.2817,169.8464,57.0,62,0,10.0
122,Norman Wells,CA,2021-02-04 03:37:32,65.282,-126.8329,-38.2,74,75,5.75
123,Piacabucu,BR,2021-02-04 03:37:32,-10.4056,-36.4344,77.31,81,89,9.01
124,Bubaque,GW,2021-02-04 03:37:32,11.2833,-15.8333,77.67,65,41,13.35
125,Hithadhoo,MV,2021-02-04 03:37:32,-0.6,73.0833,82.98,72,59,7.05
126,Faanui,PF,2021-02-04 03:37:32,-16.4833,-151.75,78.24,78,99,10.04
127,Rio Gallegos,AR,2021-02-04 03:37:32,-51.6226,-69.2181,62.6,59,0,8.05
128,Margate,GB,2021-02-04 03:34:51,51.3813,1.3862,45.0,93,5,1.01
129,San Patricio,US,2021-02-04 03:37:33,28.017,-97.5169,66.0,88,40,17.27
130,Hare Bay,CA,2021-02-04 03:37:33,48.8499,-54.0148,42.8,100,100,5.75
131,Astana,KZ,2021-02-04 03:32:45,51.1801,71.446,19.4,79,75,8.95
132,Tuensang,IN,2021-02-04 03:35:23,26.2833,94.8333,71.65,35,0,1.05
133,Port-Cartier,CA,2021-02-04 03:37:33,50.0334,-66.8654,27.0,80,100,9.22
134,Sabha,LY,2021-02-04 03:32:41,27.0377,14.4283,47.34,58,0,5.57
135,Tiznit,MA,2021-02-04 03:37:33,29.5833,-9.5,62.26,40,55,2.62
136,Santa Cruz,BO,2021-02-04 03:37:33,-17.8,-63.1667,75.2,78,75,16.11
137,Vaini,TO,2021-02-04 03:37:33,-21.2,-175.2,84.2,79,75,6.91
138,Te Anau,NZ,2021-02-04 03:37:33,-45.4167,167.7167,68.95,42,3,1.21
139,San Jose El Alto,MX,2021-02-04 03:37:34,20.65,-100.3667,68.0,21,1,8.05
140,Alyangula,AU,2021-02-04 03:37:34,-13.8483,136.4192,89.6,66,90,6.91
141,Freeport,US,2021-02-04 03:36:32,40.6576,-73.5832,33.01,59,75,18.41
142,Santa Rosa,PH,2021-02-04 03:37:34,14.3122,121.1114,88.0,61,20,6.91
143,Ebeltoft,DK,2021-02-04 03:37:34,56.1944,10.6821,26.6,86,90,13.8
144,Aykhal,RU,2021-02-04 03:37:34,66.0,111.5,-22.85,83,100,4.05
145,Dikson,RU,2021-02-04 03:37:35,73.5069,80.5464,-14.24,91,90,11.3
146,Gumdag,TM,2021-02-04 03:37:35,39.2061,54.5906,47.07,54,100,2.35
147,Rabaul,PG,2021-02-04 03:37:35,-4.1967,152.1721,84.06,70,85,11.99
148,Dali,CN,2021-02-04 03:37:35,25.7,100.1833,59.11,33,0,5.64
149,Marawi,PH,2021-02-04 03:37:35,7.9986,124.2928,82.0,83,5,8.01
150,Kahului,US,2021-02-04 03:33:15,20.8947,-156.47,68.0,68,1,19.57
151,Carnarvon,AU,2021-02-04 03:33:21,-24.8667,113.6333,80.6,100,90,27.63
152,Paka,MY,2021-02-04 03:37:36,4.6374,103.4368,82.4,74,40,8.05
153,Dudinka,RU,2021-02-04 03:37:36,69.4058,86.1778,-22.52,86,93,8.59
154,Benguela,AO,2021-02-04 03:35:05,-12.5763,13.4055,73.31,79,10,1.05
155,Saint-Francois,FR,2021-02-04 03:37:36,46.4154,3.9054,37.99,100,0,2.3
156,Keti Bandar,PK,2021-02-04 03:37:36,24.1447,67.4497,72.3,30,0,10.94
157,Mehamn,NO,2021-02-04 03:37:36,71.0357,27.8492,28.83,96,100,20.22
158,Sept-Iles,CA,2021-02-04 03:37:01,50.2001,-66.3821,27.0,80,100,9.22
159,Adrar,MR,2021-02-04 03:32:50,20.5022,-10.0711,65.82,25,71,5.46
160,Butaritari,KI,2021-02-04 03:37:36,3.0707,172.7902,81.52,83,67,15.97
161,Chicama,PE,2021-02-04 03:37:36,-7.8447,-79.1469,71.01,69,98,3.51
162,Saint George,US,2021-02-04 03:34:00,37.1041,-113.5841,55.4,35,1,4.61
163,Mangrol,IN,2021-02-04 03:37:37,21.1167,70.1167,70.47,65,0,11.48
164,Luderitz,NA,2021-02-04 03:37:37,-26.6481,15.1594,64.69,70,0,13.65
165,Hamilton,US,2021-02-04 03:36:32,39.1834,-84.5333,26.01,86,1,1.77
166,Quatre Cocos,MU,2021-02-04 03:37:37,-20.2078,57.7625,82.0,88,40,6.91
167,Port Elizabeth,ZA,2021-02-04 03:37:37,-33.918,25.5701,66.2,94,0,6.91
168,Cherskiy,RU,2021-02-04 03:37:37,68.75,161.3,1.96,74,23,9.62
169,Mount Gambier,AU,2021-02-04 03:37:37,-37.8333,140.7667,78.8,29,95,17.27
170,Padang,ID,2021-02-04 03:33:26,-0.9492,100.3543,86.0,66,40,3.44
171,Russell,US,2021-02-04 03:33:04,32.3502,-85.1999,37.4,64,1,3.11
172,Qaanaaq,GL,2021-02-04 03:37:39,77.484,-69.3632,-22.61,63,0,4.45
173,Sakakah,SA,2021-02-04 03:37:39,29.9697,40.2064,62.6,63,75,17.27
174,Sorong,ID,2021-02-04 03:37:39,-0.8833,131.25,84.83,69,61,11.43
175,Baturaja,ID,2021-02-04 03:35:11,-4.1333,104.1667,84.43,67,89,7.83
176,Puntarenas,CR,2021-02-04 03:37:39,9.9763,-84.8384,69.8,73,20,20.71
177,Thinadhoo,MV,2021-02-04 03:37:39,0.5333,72.9333,82.51,75,100,9.15
178,Villazon,BO,2021-02-04 03:37:40,-22.0866,-65.5942,46.83,85,100,4.81
179,Xuddur,SO,2021-02-04 03:37:40,4.1213,43.8894,64.94,89,35,16.64
180,Kodinsk,RU,2021-02-04 03:37:40,58.6881,99.1844,-1.17,90,92,2.66
181,Mpraeso,GH,2021-02-04 03:37:40,6.5932,-0.7346,71.13,93,3,3.02
182,Sola,VU,2021-02-04 03:37:40,-13.8833,167.55,81.91,79,100,10.13
183,Gladstone,AU,2021-02-04 03:37:41,-23.85,151.25,84.2,58,75,16.11
184,Davila,PH,2021-02-04 03:37:41,18.4726,120.5763,80.6,74,20,16.11
185,Seoul,KR,2021-02-04 03:35:17,37.5683,126.9778,28.4,26,0,2.3
186,Bowling Green,US,2021-02-04 03:33:51,36.9903,-86.4436,30.2,74,1,4.99
187,Bjornevatn,NO,2021-02-04 03:37:41,69.6672,29.9847,24.8,93,75,10.36
188,Shumyachi,RU,2021-02-04 03:37:41,53.8583,32.4242,31.59,99,100,3.29
189,Coquimbo,CL,2021-02-04 03:37:41,-29.9533,-71.3436,59.0,88,20,0.4
190,Salalah,OM,2021-02-04 03:37:42,17.0151,54.0924,62.6,55,0,4.61
191,Saint-Philippe,RE,2021-02-04 03:37:42,-21.3585,55.7679,82.0,61,0,6.91
192,Bonavista,CA,2021-02-04 03:37:42,48.6499,-53.1147,42.8,100,100,5.75
193,Port Lincoln,AU,2021-02-04 03:37:42,-34.7333,135.8667,56.98,84,100,18.75
194,Neiafu,TO,2021-02-04 03:37:42,-18.65,-173.9833,82.4,89,75,10.36
195,Dogondoutchi,NE,2021-02-04 03:37:42,13.6393,4.0287,69.22,21,12,14.09
196,Bambanglipuro,ID,2021-02-04 03:37:08,-7.95,110.2833,86.81,63,94,6.76
197,Souillac,MU,2021-02-04 03:37:43,-20.5167,57.5167,77.0,88,40,6.91
198,Ha Tinh,VN,2021-02-04 03:33:02,18.3333,105.9,71.53,79,59,3.71
199,Tautira,PF,2021-02-04 03:37:43,-17.7333,-149.15,84.2,65,40,3.44
200,Kysyl-Syr,RU,2021-02-04 03:37:43,63.8986,122.7617,-31.92,82,100,8.61
201,Chabahar,IR,2021-02-04 03:37:43,25.2919,60.643,67.66,32,0,11.86
202,Atasu,KZ,2021-02-04 03:37:43,48.6814,71.6433,15.21,92,100,8.59
203,Anloga,GH,2021-02-04 03:34:04,5.7947,0.8973,82.4,83,20,6.91
204,Diamantino,BR,2021-02-04 03:37:44,-14.4086,-56.4461,73.56,88,89,1.86
205,Lagoa,PT,2021-02-04 03:37:44,39.05,-27.9833,53.76,65,98,32.73
206,Terrace,CA,2021-02-04 03:37:44,54.5163,-128.6035,30.2,93,90,5.75
207,Sorland,NO,2021-02-04 03:37:44,67.667,12.6934,35.47,79,81,26.6
208,Kitimat,CA,2021-02-04 03:37:07,54.0524,-128.6534,33.01,95,100,3.71
209,Quesnel,CA,2021-02-04 03:37:44,52.9999,-122.5029,21.2,93,90,2.3
210,Nanakuli,US,2021-02-04 03:34:05,21.3906,-158.1547,75.2,69,75,12.66
211,Khorixas,NA,2021-02-04 03:37:44,-20.3667,14.9667,66.88,62,4,3.83
212,Kodiak,US,2021-02-04 03:37:44,57.79,-152.4072,32.0,80,1,6.91
213,Bay Roberts,CA,2021-02-04 03:37:45,47.5999,-53.2648,48.2,100,90,18.41
214,Cam Ranh,VN,2021-02-04 03:37:45,11.9214,109.1591,80.6,61,40,13.8
215,Hambantota,LK,2021-02-04 03:37:45,6.1241,81.1185,78.8,83,90,12.66
216,Isangel,VU,2021-02-04 03:37:45,-19.55,169.2667,83.01,69,57,12.1
217,Sibolga,ID,2021-02-04 03:32:56,1.7427,98.7792,88.66,55,7,2.17
218,Keetmanshoop,NA,2021-02-04 03:37:45,-26.5833,18.1333,71.8,41,0,8.3
219,College,US,2021-02-04 03:37:45,64.8569,-147.8028,-5.8,71,90,3.44
220,Nautla,MX,2021-02-04 03:37:45,20.2167,-96.7833,66.61,84,5,11.83
221,Taltal,CL,2021-02-04 03:37:45,-25.4,-70.4833,64.98,74,69,2.66
222,Ankpa,NG,2021-02-04 03:37:46,7.3706,7.6253,69.4,26,0,3.38
223,Kihei,US,2021-02-04 03:37:02,20.785,-156.4656,68.0,68,1,19.57
224,Sikeston,US,2021-02-04 03:37:46,36.8767,-89.5879,33.8,93,1,3.44
225,Mafinga,TZ,2021-02-04 03:37:46,-7.25,35.0667,64.11,93,95,0.89
226,Sinnamary,GF,2021-02-04 03:37:46,5.3833,-52.95,77.59,85,100,15.26
227,Flinders,AU,2021-02-04 03:37:46,-34.5833,150.8552,79.0,73,60,8.99
228,Kalabagh,PK,2021-02-04 03:37:46,32.965,71.557,60.46,44,70,3.56
229,Rensvik,NO,2021-02-04 03:37:46,63.1,7.8167,17.6,67,0,11.5
230,Kikwit,CD,2021-02-04 03:37:47,-5.041,18.8162,69.69,93,81,1.95
231,Itumbiara,BR,2021-02-04 03:37:47,-18.4192,-49.2153,73.76,73,55,3.09
232,West Wendover,US,2021-02-04 03:35:32,40.7391,-114.0733,37.4,48,90,8.05
233,Campohermoso,ES,2021-02-04 03:37:47,36.9357,-2.1337,55.4,94,90,4.61
234,New Norfolk,AU,2021-02-04 03:37:47,-42.7826,147.0587,81.0,44,56,3.0
235,Fairbanks,US,2021-02-04 03:35:12,64.8378,-147.7164,-5.8,77,90,5.75
236,Januaria,BR,2021-02-04 03:37:47,-15.4833,-44.3667,71.4,91,97,1.97
237,Sisimiut,GL,2021-02-04 03:37:47,66.9395,-53.6735,-1.59,78,22,10.18
238,Ahipara,NZ,2021-02-04 03:37:48,-35.1667,173.1667,72.32,59,6,3.29
239,Batagay,RU,2021-02-04 03:37:48,67.6333,134.6333,-39.73,75,0,1.12
240,Itoman,JP,2021-02-04 03:37:48,26.1247,127.6694,71.6,49,20,8.05
241,Sarny,UA,2021-02-04 03:37:48,51.338,26.6019,37.49,98,100,13.31
242,Ulladulla,AU,2021-02-04 03:37:48,-35.35,150.4667,82.4,61,75,18.41
243,San Jose,US,2021-02-04 03:36:37,37.3394,-121.895,53.6,62,75,8.05
244,Mahanoro,MG,2021-02-04 03:37:48,-19.9,48.8,77.7,85,56,4.45
245,Kenai,US,2021-02-04 03:37:48,60.5544,-151.2583,17.6,86,90,9.22
246,Richards Bay,ZA,2021-02-04 03:32:49,-28.783,32.0377,74.08,90,100,5.12
247,Alofi,NU,2021-02-04 03:37:49,-19.0595,-169.9187,80.6,89,90,5.75
248,San Cristobal,VE,2021-02-04 03:37:49,7.7669,-72.225,67.51,71,79,1.25
249,Havoysund,NO,2021-02-04 03:37:49,70.9963,24.6622,28.4,69,20,17.27
250,Dingle,PH,2021-02-04 03:37:49,10.9995,122.6711,82.09,77,78,15.84
251,Safaga,EG,2021-02-04 03:37:49,26.7292,33.9365,64.4,42,0,17.27
252,Takhtamygda,RU,2021-02-04 03:37:49,54.1,123.5667,-14.17,78,0,2.53
253,Kamariotissa,GR,2021-02-04 03:37:49,40.4833,25.4667,50.0,93,20,8.12
254,Redcliffe,AU,2021-02-04 03:37:49,-27.2307,153.0973,84.99,57,20,10.36
255,Meulaboh,ID,2021-02-04 03:37:50,4.1363,96.1285,86.02,63,50,1.92
256,Ilulissat,GL,2021-02-04 03:37:50,69.2167,-51.1,-5.8,41,39,8.05
257,Medicine Hat,CA,2021-02-04 03:37:50,50.0501,-110.6683,3.99,71,20,5.75
258,Acapulco,MX,2021-02-04 03:37:00,16.8634,-99.8901,80.6,78,20,3.44
259,Torbay,CA,2021-02-04 03:37:50,47.6666,-52.7314,48.2,100,90,18.41
260,San Isidro,PE,2021-02-04 03:33:08,-12.1167,-77.05,73.99,83,0,11.5
261,Akdepe,TM,2021-02-04 03:37:50,42.0551,59.3788,37.4,93,84,9.22
262,Clyde River,CA,2021-02-04 03:37:51,70.4692,-68.5914,-20.2,76,90,4.61
263,Lebu,CL,2021-02-04 03:37:51,-37.6167,-73.65,58.03,89,4,13.51
264,Kiruna,SE,2021-02-04 03:34:14,67.8557,20.2251,17.6,86,90,11.5
265,Aklavik,CA,2021-02-04 03:37:51,68.2191,-135.0107,-40.0,67,24,2.3
266,Vila Velha,BR,2021-02-04 03:37:51,-20.3297,-40.2925,78.8,83,20,5.75
267,Marienburg,PL,2021-02-04 03:37:51,54.0359,19.0266,28.0,95,100,11.99
268,Grindavik,IS,2021-02-04 03:37:51,63.8424,-22.4338,33.8,75,0,25.32
269,Iwanai,JP,2021-02-04 03:33:36,42.9744,140.5089,17.96,90,100,15.64
270,Maceio,BR,2021-02-04 03:33:18,-9.6658,-35.7353,73.4,94,0,3.44
271,Yerofey Pavlovich,RU,2021-02-04 03:37:52,53.9667,121.9667,-13.99,80,30,4.0
272,Sao Filipe,CV,2021-02-04 03:37:52,14.8961,-24.4956,71.35,79,92,8.32
273,Cartagena,CO,2021-02-04 03:34:44,10.3997,-75.5144,78.8,89,0,10.36
274,Cherepovets,RU,2021-02-04 03:37:52,59.1333,37.9,21.2,93,90,8.95
275,Erenhot,CN,2021-02-04 03:37:52,43.6475,111.9767,22.8,87,0,18.95
